Pressure,langle,wangle,stroke,wsize,distance,lsize,margin,Target
159,-176.2257494,-173.0290317,40,59886,51,28512,57,Neuroticism 
156,-93.42807194,-92.13540677,31,78622,43,31122,0,Neuroticism 
124,171.343873,149.1774961,30,51756,94,20269,0,Neuroticism 
152,175.6304985,147.9347034,28,57385,52,15812,32,Neuroticism 
140,176.0648351,175.1569971,57,71555,66,30062,18,Neuroticism 
125,70.09358625,92.91442276,29,68610,57,26297,28,Neuroticism 
123,-166.9331632,-155.8711422,49,66891,208,20105,0,Neuroticism 
166,-56.5306828,6.68824501,20,66601,54,27666,32,Neuroticism 
129,174.2011337,162.5794678,42,55264,117,25160,0,Neuroticism 
151,171.5221488,127.5094138,43,77511,35,22778,35,Neuroticism 
136,171.9642194,172.2062525,60,66091,72,24438,87,Neuroticism 
140,141.1560333,133.666698,40,76399,44,19808,18,Neuroticism 
132,173.5320485,172.5176056,39,65346,100,34296,50,Neuroticism 
140,179.0618264,149.9604715,29,85068,53,30844,28,Neuroticism 
116,178.0619547,167.0824648,45,32832,66,7255,69,Neuroticism 
136,174.1177071,161.7958023,35,56993,39,8595,28,Neuroticism 
119,176.4445396,173.9759905,27,60262,166,28165,0,Neuroticism 
162,174.3908107,166.7803776,20,63553,63,29758,80,Neuroticism 
134,150.0986247,125.4528618,38,75418,39,13241,15,Neuroticism 
117,171.3818321,168.8184519,63,75000,46,26155,106,Neuroticism 
138,175.8212302,175.9263884,26,94644,54,51343,181,Neuroticism 
151,176.4154745,151.6329707,34,55568,45,13905,0,Neuroticism 
132,84.3940248,80.66907407,26,54157,80,33189,10,Neuroticism 
152,90.51757938,63.94421273,40,68770,66,16264,39,Neuroticism 
123,94.64948919,137.5143031,27,66662,121,26895,0,Neuroticism 
148,-13.57113519,40.83863655,39,83431,59,22031,35,Neuroticism 
124,175.7123496,93.09552075,51,60355,103,18766,21,Neuroticism 
124,-24.99949193,36.20690765,21,70228,44,38680,24,Neuroticism 
124,175.1491695,168.4041109,36,58925,92,17107,15,Neuroticism 
139,168.8165563,159.5536788,30,50927,58,11489,0,Neuroticism 
190,129.1705058,144.159005,49,64282,43,35141,105,Neuroticism 
189,-166.3245034,-167.3580357,40,56158,70,16752,108,Neuroticism 
196,-89.62860426,2.483204809,19,63393,105,30341,2,Neuroticism 
173,-162.9095504,-169.4788397,28,64388,144,28784,3,Neuroticism 
170,-158.9660241,-161.6928109,39,56029,77,19634,62,Neuroticism 
184,-156.6849087,-53.82246163,15,106175,47,59744,22,Neuroticism 
175,-163.4420773,-156.8544109,7,22282,43,11168,72,Neuroticism 
190,-16.76704996,28.2580315,25,67695,40,27636,55,Neuroticism 
175,-167.7629717,-152.1519073,42,71578,83,21833,113,Neuroticism 
195,17.92278019,98.30692182,18,69639,53,30165,53,Neuroticism 
154,-161.0790072,-161.3492646,53,67091,114,11741,3,Neuroticism 
171,-167.5744188,-122.581475,37,79301,43,15606,51,Neuroticism 
164,-146.2294639,-116.5914536,50,70662,71,15588,53,Neuroticism 
198,175.6333624,148.0974122,26,85454,38,36367,76,Neuroticism 
120,172.7319599,164.3033629,37,67681,52,24278,93,Openness
136,22.17216813,3.535101189,32,62812,46,17212,49,Openness
117,70.96528824,56.88917697,25,55949,112,30039,0,Openness
139,173.4939086,169.515361,34,62442,69,17090,8,Openness
114,-85.75988206,-87.09220722,48,51801,135,14659,0,Openness
130,-177.3454277,-144.5777438,35,47039,54,10640,41,Openness
118,178.9490535,149.7863637,36,53183,100,18172,84,Openness
140,159.4894513,107.7589889,26,57576,50,19312,119,Openness
114,176.90307,169.5228917,41,62947,77,19179,66,Openness
128,170.1603761,117.3323622,34,37709,46,6321,17,Openness
115,81.06207312,90.72815523,47,49496,106,22028,0,Openness
145,-38.32105193,-38.84931888,33,64563,63,23436,0,Openness
131,147.3587244,126.3156004,32,53516,53,9354,48,Openness
122,-156.6415544,-97.80272986,39,68716,94,25007,0,Openness
145,174.0985464,127.1571947,36,70993,52,22223,8,Openness
116,16.47078702,44.16101783,33,54921,115,18743,123,Openness
132,131.4944676,129.7161132,23,54302,57,17707,87,Openness
136,17.00741378,12.02380503,35,55782,116,16951,149,Openness
126,153.9180952,159.5362799,32,51788,54,8584,105,Openness
126,35.60959863,85.55617517,38,63493,62,17309,42,Openness
132,24.28863827,48.66003098,27,59497,41,17526,131,Openness
118,176.9416246,164.0878792,14,48397,76,30388,37,Openness
114,172.0997233,158.4277547,39,49903,59,14925,0,Openness
130,-162.3114775,-78.11168883,35,67668,37,14528,83,Openness
144,149.560371,111.0896442,71,94092,76,63468,107,Openness
116,-177.4401528,-146.2632959,35,76543,82,31800,114,Openness
142,-174.1802329,-156.928714,32,63720,43,17965,17,Openness
115,177.4383045,163.770698,61,55345,85,17760,65,Openness
129,-54.9546508,15.42835455,33,53089,47,9407,38,Openness
116,177.0057121,173.9902338,33,57100,110,19290,7,Openness
126,3.104212721,35.74705895,468,100290,27,18299,0,Openness
151,66.91852471,74.7712443,17,95859,62,60540,85,Openness
124,82.31097277,120.5962365,47,57195,90,36873,0,Openness
166,152.7963662,116.2224704,5,60829,37,50199,0,Openness
140,-36.26254776,15.88338264,38,81596,81,29424,173,Openness
160,70.34387882,67.04945822,35,93789,36,22906,101,Openness
140,166.6901207,150.2874826,33,69809,38,15826,16,Openness
120,81.40029104,90.3506704,42,60071,146,17123,0,Openness
157,-15.22070618,13.70408166,19,66820,51,30696,35,Openness
128,-174.0462053,-171.9804189,34,56215,112,27871,0,Openness
150,-174.3997528,-158.7847376,10,67426,56,31409,43,Openness
118,-42.0035371,61.31706724,43,74988,123,27662,0,Openness
141,23.9286424,72.46905177,27,60726,78,21433,64,Openness
126,-172.2856537,-163.7400917,21,47170,117,19397,0,Openness
165,-174.0777589,-139.1877436,17,72999,40,32536,32,Openness
139,160.3870146,170.5808773,29,63295,58,23617,0,Openness
149,173.9573086,137.8544392,42,69327,64,15728,11,Openness
130,92.80435549,61.91610729,54,50828,77,20000,69,Openness
149,173.0035706,110.1227578,37,85693,42,24825,83,Openness
120,174.3952454,168.1457993,35,43536,52,11642,0,Openness
157,170.7611194,145.6758717,41,89535,42,21341,48,Openness
118,147.9016807,140.0783111,31,49841,94,11440,0,Openness
123,177.3402156,151.213605,43,62624,48,4891,68,Openness
119,-81.98043407,-64.3945088,45,50183,138,18934,0,Openness
137,67.84157131,54.47729954,48,87166,47,19796,57,Openness
143,162.0900704,151.2732885,49,57653,105,33555,92,Openness
157,158.4345305,109.0662913,32,59751,65,25772,46,Openness
161,177.7707443,177.5553825,29,92324,92,53250,241,Openness
123,177.106196,147.3836717,35,80782,49,19182,73,Openness
160,153.2986492,131.3375155,27,60393,119,28409,220,Openness
138,177.1036345,158.8394714,10,64756,59,44450,42,Openness
144,155.0109012,144.9547243,49,67773,93,12746,249,Openness
134,130.3034936,149.4355734,26,54474,82,16008,63,Openness
147,150.3297463,88.14846572,38,67208,91,22547,135,Openness
118,-177.6993538,-124.2626108,26,78239,49,30787,40,Openness
127,167.3719885,93.35197687,33,50844,99,17631,90,Openness
117,-101.9882312,-56.48934498,34,69439,82,11452,52,Openness
120,-175.4790995,-163.1276414,40,52642,114,10321,0,Openness
124,-162.8312444,-34.2848952,36,52979,59,6657,73,Openness
151,146.5238055,127.8609207,30,80529,70,45429,0,Openness
156,176.632822,131.9669564,23,84385,36,44727,53,Openness
122,67.82318879,21.18561862,43,47623,102,7756,258,Openness
115,25.25647883,101.3510691,33,45721,55,7187,56,Openness
133,132.8650897,94.72106201,54,72835,150,32380,188,Openness
120,76.77877347,87.18798321,38,76102,38,17580,70,Openness
125,178.6285143,142.4331281,51,63355,81,19262,0,Openness
151,175.8773243,155.9464283,35,76865,38,26056,57,Openness
123,61.15866225,2.606143066,46,61831,175,27878,0,Openness
147,171.7689772,145.421868,29,75568,34,23606,41,Openness
121,175.6293783,158.7500732,34,58985,119,20024,0,Openness
143,141.1217612,124.2722233,25,64487,56,20212,62,Openness
125,-173.8530123,-124.903238,47,59262,89,19867,93,Openness
152,153.7288268,112.3426821,33,90465,39,24389,64,Openness
135,171.8337095,157.4046668,48,101096,63,27813,273,Openness
146,173.1752161,153.6660512,32,66894,38,15313,31,Openness
146,175.600174,119.8490422,48,71679,92,35546,55,Openness
122,60.13102053,70.569721,44,85022,57,23654,62,Openness
122,175.6550997,149.775362,34,32500,39,2578,45,Openness
130,-38.65500366,40.48956143,48,58705,141,16465,3,Openness
148,-111.3184173,-58.94471505,20,72482,73,37971,40,Openness
122,179.1820092,140.6962848,37,47547,56,14299,0,Openness
142,151.8338112,113.9354605,43,73081,52,16074,28,Openness
